timestamp,index,name,memory.used [MiB],memory.total [MiB],utilization.gpu [%],utilization.memory [%]
2026/05/13 21:39:17.434, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:22.436, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:22.438, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:27.439, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:27.441, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:32.442, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:32.444, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:37.446, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:37.447, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:42.449, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:42.451, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:47.452, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:47.454, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:52.456, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:52.457, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:57.459, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:39:57.461, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:02.463, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:02.464, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:07.466, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:07.468, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:12.469, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:12.471, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:17.472, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:17.474, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:22.476, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:22.478, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:27.479, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:27.481, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:32.482, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:32.484, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:37.486, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:37.488, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:42.489, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:42.491, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:47.492, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:47.493, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:52.495, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:52.496, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:57.498, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:40:57.502, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:02.503, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:02.508, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:07.510, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:07.511, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:12.513, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:12.514, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:17.516, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:17.518, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:22.519, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:22.521, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:27.523, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:27.524, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:32.526, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:32.527, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:37.529, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:37.530, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:42.532, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:42.533, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:47.535, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:47.536, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:52.538, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:52.539, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:57.540, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:41:57.542, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:02.543, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:02.545, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:07.547, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:07.549, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:12.551, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:12.552, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:17.553, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:17.555, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:22.557, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:22.558, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:27.559, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 85
2026/05/13 21:42:27.562, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:32.564, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:32.566, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:37.567, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:37.568, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:42.570, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 97, 84
2026/05/13 21:42:42.571, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 98, 84
2026/05/13 21:42:47.573, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:47.574, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:52.576, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:52.577, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:57.579, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:42:57.581, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:02.582, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:02.584, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:07.586, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:07.588, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:12.590, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:12.592, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:17.593, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:17.596, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:22.597, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:22.824, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:27.826, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:27.828, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:32.830, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:32.831, 1, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
2026/05/13 21:43:37.833, 0, NVIDIA A100-SXM4-80GB, 75797, 81920, 0, 0
