timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782128503.344297,5.794,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.450962,4.407,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.556362,4.370,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.665566,5.770,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.777050,4.868,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128503.885534,6.199,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128503.993134,5.668,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128504.100422,5.947,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.208081,5.744,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.315439,7.587,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.425007,5.439,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128504.531713,6.867,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.639070,3.021,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.745557,4.324,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.853282,5.445,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128504.960130,5.971,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.067191,4.431,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128505.172065,5.695,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.279201,5.475,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.387532,3.044,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.491117,3.622,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128505.598200,4.491,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.704595,2.542,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.808505,4.482,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128505.914282,5.279,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128506.020050,5.327,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.126974,5.522,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.234661,5.052,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.341084,4.418,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.446112,5.441,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128506.554154,4.329,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.660126,5.006,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128506.766104,4.834,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.871556,9.952,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128506.982961,3.505,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.088130,4.511,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.193132,5.501,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.300937,5.403,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128507.407171,5.118,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.513099,5.240,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.620573,5.776,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.731954,4.822,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.837885,6.498,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128507.946189,5.361,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128508.054297,5.431,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128508.159983,2.779,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128508.264913,5.018,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128508.373121,4.905,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128508.479191,5.024,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128508.585439,5.129,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128508.692426,3.912,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128508.801241,5.309,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128508.909127,5.148,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.014993,4.909,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128509.121648,5.851,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.228243,6.817,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128509.336557,5.018,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128509.442128,4.419,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.547121,4.388,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.655396,5.037,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128509.764087,3.964,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.872890,4.358,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128509.978553,2.655,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128510.084159,3.260,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128510.188410,5.316,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128510.296350,5.271,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128510.402080,5.056,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128510.508683,5.288,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128510.615336,4.893,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128510.721181,4.781,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128510.828849,2.692,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128510.932648,4.792,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.041916,5.362,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.147504,5.157,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.253429,5.246,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128511.359612,5.473,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128511.471093,5.558,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.577907,5.347,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.684124,5.325,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128511.789994,5.088,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128511.896650,5.061,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.002107,3.271,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.106016,5.082,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.212514,5.293,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128512.319887,4.183,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.424958,4.717,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128512.530147,5.087,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.637481,6.697,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.745783,5.240,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128512.852120,5.540,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128512.958114,4.640,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.068585,4.928,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128513.174227,5.366,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128513.281037,4.930,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.388938,6.097,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.497246,5.328,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.604658,5.060,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128513.712581,4.602,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.820372,5.547,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128513.926155,4.507,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.031089,4.338,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128514.136354,4.955,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.242156,5.162,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.349308,5.135,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128514.458534,5.346,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128514.565158,4.069,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.669416,4.163,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128514.778914,4.335,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.884119,5.238,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128514.990527,6.007,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128515.097151,5.523,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128515.203977,5.180,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128515.310195,5.182,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128515.420089,5.033,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128515.528357,4.593,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782128515.636653,5.815,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782128515.743246,4.879,1,200,inference-gateway-78cbd9f4cc-p6prt,
