timestamp_unix,latency_ms,ok,http_status,gateway_instance,error
1782125831.215170,5.053,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.321760,5.538,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.429485,7.039,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125831.537135,5.895,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.644418,4.893,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.750493,4.983,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125831.856156,7.318,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125831.966012,4.517,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125832.073316,5.034,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125832.179121,5.307,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125832.285151,4.484,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125832.391083,3.714,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125832.495254,4.003,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125832.601464,4.418,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125832.706146,3.576,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125832.810227,5.478,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125832.916338,19.959,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.037524,4.949,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.143176,5.575,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125833.251089,3.099,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.356310,7.904,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125833.466617,28.225,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.596190,5.582,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.702190,5.008,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.808195,4.968,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125833.915319,7.027,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125834.023144,4.175,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125834.128110,5.625,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125834.234262,5.508,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125834.340126,4.378,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125834.449040,5.784,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125834.555372,4.388,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125834.662680,6.672,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125834.770040,4.849,1,200,inference-gateway-78cbd9f4cc-bf52k,
1782125834.876371,6.659,1,200,inference-gateway-78cbd9f4cc-p6prt,
1782125834.984226,4.753,1,200,inference-gateway-78cbd9f4cc-p6prt,
