timestamp_unix,latency_ms,ok,http_status,instance,error
1782084209.639522,4.728,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084209.740614,4.734,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084209.841739,4.602,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084209.945008,3.979,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.045533,2.430,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084210.145684,3.813,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.247186,6.771,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084210.347544,5.129,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.448887,4.292,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.549580,3.829,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084210.650565,4.240,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.751540,4.785,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084210.852512,4.050,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084210.952763,4.384,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084211.053543,5.192,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084211.154534,4.382,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084211.257809,4.389,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084211.358398,4.858,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084211.459476,4.406,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084211.559580,3.974,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084211.661582,4.429,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084211.762618,4.530,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084211.863976,4.132,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084211.964693,4.317,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084212.067975,4.644,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.168784,4.011,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084212.269604,4.400,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.370534,4.215,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.471545,4.019,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.572526,3.457,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084212.673385,4.203,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.773642,4.354,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084212.876549,4.544,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084212.977531,4.348,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084213.078509,3.688,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084213.178914,4.610,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084213.279573,3.978,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084213.380573,2.990,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084213.481558,4.493,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084213.582566,3.395,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084213.683438,3.932,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084213.784373,4.597,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084213.885541,4.292,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084213.986799,3.693,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084214.087564,4.238,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084214.188527,4.118,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084214.290130,4.217,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084214.390754,4.149,1,200,inference-gateway-78cbd9f4cc-6tmfp,
