ts,running,waiting,kv_cache_usage_perc,error
1783033514.7894967,16.0,16.0,0.010274359263859112,
1783033514.8951068,16.0,16.0,0.010274359263859112,
1783033515.0003939,16.0,16.0,0.010274359263859112,
1783033515.1055865,16.0,16.0,0.010876519513755567,
1783033515.2107546,16.0,16.0,0.010876519513755567,
1783033515.317225,16.0,16.0,0.010876519513755567,
1783033515.422962,16.0,16.0,0.010876519513755567,
1783033515.5283196,16.0,16.0,0.010876519513755567,
1783033515.6341078,16.0,16.0,0.010876519513755567,
1783033515.7397375,16.0,16.0,0.011478679763652133,
1783033515.8449044,16.0,16.0,0.011478679763652133,
1783033515.9502745,16.0,16.0,0.011478679763652133,
1783033516.0556767,16.0,16.0,0.011478679763652133,
1783033516.1608734,16.0,16.0,0.011478679763652133,
1783033516.2662766,16.0,16.0,0.011553949794889218,
1783033516.37151,16.0,16.0,0.012080840013548588,
1783033516.4766743,16.0,16.0,0.012080840013548588,
1783033516.5819557,16.0,16.0,0.012080840013548588,
1783033516.6872258,16.0,16.0,0.012080840013548588,
1783033516.7926645,16.0,16.0,0.012080840013548588,
1783033516.897998,16.0,16.0,0.012683000263445154,
1783033517.003826,16.0,16.0,0.012683000263445154,
1783033517.1094446,16.0,16.0,0.012683000263445154,
1783033517.2147493,16.0,16.0,0.012683000263445154,
1783033517.3217,16.0,16.0,0.012683000263445154,
1783033517.4273634,16.0,16.0,0.012683000263445154,
1783033517.5325432,16.0,16.0,0.01328516051334161,
1783033517.6376665,16.0,16.0,0.01328516051334161,
1783033517.7427225,16.0,16.0,0.01328516051334161,
1783033517.84778,16.0,16.0,0.01328516051334161,
1783033517.9528828,16.0,16.0,0.01328516051334161,
1783033518.0585363,16.0,16.0,0.013360430544578694,
1783033518.1636477,16.0,16.0,0.013887320763238065,
1783033518.2687054,16.0,16.0,0.013887320763238065,
1783033518.3738022,16.0,16.0,0.013887320763238065,
1783033518.478865,16.0,16.0,0.013887320763238065,
1783033518.5839489,16.0,16.0,0.013887320763238065,
1783033518.6892445,16.0,16.0,0.01448948101313463,
1783033518.7942681,16.0,16.0,0.01448948101313463,
1783033518.8993583,16.0,16.0,0.01448948101313463,
1783033519.0047593,16.0,16.0,0.01448948101313463,
1783033519.1099155,16.0,16.0,0.01448948101313463,
1783033519.215368,16.0,16.0,0.014564751044371715,
1783033519.3205347,16.0,16.0,0.015091641263031086,
1783033519.4255812,16.0,16.0,0.015091641263031086,
1783033519.5306542,16.0,16.0,0.015091641263031086,
1783033519.6357222,16.0,16.0,0.015091641263031086,
1783033519.740773,16.0,16.0,0.015091641263031086,
1783033519.8462462,16.0,16.0,0.015693801512927652,
1783033519.9515755,16.0,16.0,0.015693801512927652,
1783033520.0566387,16.0,16.0,0.015693801512927652,
1783033520.1616743,16.0,16.0,0.015693801512927652,
1783033520.26675,16.0,16.0,0.015693801512927652,
